"Bezeichnung (singular)","Bezeichnung (plural)","Version","Beschreibung","Daten-Profil Typ","Tabellen-Name","Reihenfolge","Symbol","Reorgzeiten konfigurieren","API-Name","Eltern Daten-Profil","Erstellt am","Erstellt von","Geändert am","Geändert von"
"Abrechnungsprotokoll","Abrechnungsprotokolle","","","Bewegungsdaten","billing_protocol","","$plx-billing-data","Nein","billing-protocol","","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"ADR","ADR","","","Stammdaten","51abbd","","","Nein","","Gefahrrechtliche Grundlage","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Adresse","Adressen","","","Bewegungsdaten","address_data","1","mdi-home-city-outline","Nein","address-data","Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Adresse","Adressen","","","Bewegungsdaten","customs_address","","mdi-home-city-outline","Nein","customs-address","Verzollung","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Adresse","Adressen","","","Bewegungsdaten","freight_address","0","mdi-home-city-outline","Nein","freight-address","Ladung","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Adresse","Adressen","","","Bewegungsdaten","tour_address","0","mdi-home-city-outline","Nein","tour-address","Tour","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Adresse (Auftragsmatrix)","Adressen (Auftragsmatrix)","","","Stammdaten","order_matrix_address","1","mdi-home-city-outline","Nein","order-matrix-address","Matrix (Auftrag)","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Adressestamm","Adressestämme","","","Stammdaten","address_master","0","mdi-home-city-outline","Nein","address-master","Buchungskreis Adressstamm","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Aktion","Aktionen","","","Stammdaten","order_pool_action","1","mdi-movie-open-play","Nein","order-pool-action","Pool (Auftrag)","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Aktion","Aktionen","","","Stammdaten","task_pool_action","1","mdi-movie-open-play","Nein","task-pool-action","Pool (Vorgang)","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Aktion","Aktionen","","","Stammdaten","trigger_action_stock_qualification","3","mdi-movie-open-play-outline","Nein","trigger-action-stock-qualification","Aktionstrigger","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Aktionstrigger","Aktionstrigger","","","Stammdaten","trigger_action","11","mdi-alpha-a-circle","Nein","trigger-action","Profil (Bestandsarten)","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Anhang","Anhänge","","","Bewegungsdaten","task_attachment","2","mdi-folder-open-outline","Nein","task-attachment","Vorgang","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Anhang","Anhänge","","","Stammdaten","vehicle_master_attachment","","mdi-folder-open-outline","Nein","vehicle-master-attachment","Stamm (Fahrzeug)","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Anhang","Anhänge","","","Bewegungsdaten","handling_unit_attachment","2","mdi-folder-open-outline","Nein","handling-unit-attachment","Handling-Unit","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Anhang","Anhänge","","","Bewegungsdaten","order_attachment","2","mdi-folder-open-outline","Nein","order-attachment","Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Anhang","Anhänge","","","Bewegungsdaten","freight_attachment","3","mdi-folder-open-outline","Nein","freight-attachment","Ladung","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Anhang","Anhänge","","","Stammdaten","transport_operator_attachment","1","mdi-folder-open-outline","Nein","transport-operator-attachment","Stamm (Unternehmer)","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Anhang","Anhänge","","","Bewegungsdaten","tour_attachment","","mdi-folder-open-outline","Nein","tour-attachment","Tour","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Anhang","Anhänge","","","Stammdaten","item_master_attachment","","mdi-folder-open-outline","Nein","item-master-attachment","Artikelstamm","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Anrede","Anreden","","","Stammdaten","salutation","4","mdi-human-male-female","Nein","salutation","Buchungskreis Adressstamm","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Anzeige (Bestandsmerkmale)","Anzeigen (Bestandsmerkmale)","","","Stammdaten","stock_characteristics_display","1","mdi-cellphone-text","Nein","stock-characteristics-display","Profil (Bestandsmerkmal)","28.07.2026 14:34:21 Uhr","","29.07.2026 09:54:29 Uhr","Bente Wittern"
"Arbeitszone","Arbeitszonen","","","Stammdaten","working_area","","mdi-select-marker","Nein","working-area","Standort","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Art (Auftrag)","Arten (Auftrag)","","","Stammdaten","order_sub_type","3","mdi-format-list-bulleted-type","Nein","order-sub-type","Buchungskreis Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Art (Auftragsposition)","Arten (Auftragsposition)","","","Stammdaten","order_position_sub_type","7","mdi-format-list-bulleted-type","Nein","order-position-sub-type","Buchungskreis Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Art (Bestand)","Arten (Bestand)","","","Stammdaten","stock_sub_type","7","mdi-tag-multiple-outline","Nein","stock-sub-type","Buchungskreis Artikelstamm","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Art (Fracht)","Arten (Fracht)","","","Stammdaten","freight_sub_type","12","mdi-plane-train","Nein","freight-sub-type","Buchungskreis Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Artikelkategorie","Artikelkategorien","","","Stammdaten","task_evaluation_item_category","5","mdi-select-group","Nein","task-evaluation-item-category","Vorgangseinstufung II","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Artikelstamm","Artikelstämme","","","Stammdaten","item_master","0","style","Nein","item-master","Buchungskreis Artikelstamm","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Art (Seriennummer)","Arten (Seriennummer)","","","Stammdaten","type_serial_number","","mdi-key-change","Nein","type-serial-number","Profil (Seriennummer)","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Art (Versand)","Arten (Versand)","","","Stammdaten","shipping_sub_type","11","toll","Nein","shipping-sub-type","Buchungskreis Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
